"","rank","name","platform","year","genre","publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","platform_exclusive"
"1",1,"Wii Sports","Wii","2006","Sports","Nintendo",41.49,29.02,3.77,8.46,82.74,"Exclusive"
"2",2,"Super Mario Bros.","NES","1985","Platform","Nintendo",29.08,3.58,6.81,0.77,40.24,"Non-exclusive"
"3",3,"Mario Kart Wii","Wii","2008","Racing","Nintendo",15.85,12.88,3.79,3.31,35.82,"Exclusive"
"4",4,"Wii Sports Resort","Wii","2009","Sports","Nintendo",15.75,11.01,3.28,2.96,33,"Exclusive"
"5",5,"Pokemon Red/Pokemon Blue","GB","1996","Role-Playing","Nintendo",11.27,8.89,10.22,1,31.37,"Exclusive"
"6",6,"Tetris","GB","1989","Puzzle","Nintendo",23.2,2.26,4.22,0.58,30.26,"Non-exclusive"
"7",7,"New Super Mario Bros.","DS","2006","Platform","Nintendo",11.38,9.23,6.5,2.9,30.01,"Exclusive"
"8",8,"Wii Play","Wii","2006","Misc","Nintendo",14.03,9.2,2.93,2.85,29.02,"Exclusive"
"9",9,"New Super Mario Bros. Wii","Wii","2009","Platform","Nintendo",14.59,7.06,4.7,2.26,28.62,"Exclusive"
"10",10,"Duck Hunt","NES","1984","Shooter","Nintendo",26.93,0.63,0.28,0.47,28.31,"Exclusive"
"11",11,"Nintendogs","DS","2005","Simulation","Nintendo",9.07,11,1.93,2.75,24.76,"Exclusive"
"12",12,"Mario Kart DS","DS","2005","Racing","Nintendo",9.81,7.57,4.13,1.92,23.42,"Exclusive"
"13",13,"Pokemon Gold/Pokemon Silver","GB","1999","Role-Playing","Nintendo",9,6.18,7.2,0.71,23.1,"Exclusive"
"14",14,"Wii Fit","Wii","2007","Sports","Nintendo",8.94,8.03,3.6,2.15,22.72,"Exclusive"
"15",15,"Wii Fit Plus","Wii","2009","Sports","Nintendo",9.09,8.59,2.53,1.79,22,"Exclusive"
"16",16,"Kinect Adventures!","X360","2010","Misc","Microsoft Game Studios",14.97,4.94,0.24,1.67,21.82,"Exclusive"
"17",17,"Grand Theft Auto V","PS3","2013","Action","Take-Two Interactive",7.01,9.27,0.97,4.14,21.4,"Non-exclusive"
"18",18,"Grand Theft Auto: San Andreas","PS2","2004","Action","Take-Two Interactive",9.43,0.4,0.41,10.57,20.81,"Non-exclusive"
"19",19,"Super Mario World","SNES","1990","Platform","Nintendo",12.78,3.75,3.54,0.55,20.61,"Non-exclusive"
"20",20,"Brain Age: Train Your Brain in Minutes a Day","DS","2005","Misc","Nintendo",4.75,9.26,4.16,2.05,20.22,"Exclusive"
"21",21,"Pokemon Diamond/Pokemon Pearl","DS","2006","Role-Playing","Nintendo",6.42,4.52,6.04,1.37,18.36,"Exclusive"
"22",22,"Super Mario Land","GB","1989","Platform","Nintendo",10.83,2.71,4.18,0.42,18.14,"Exclusive"
"23",23,"Super Mario Bros. 3","NES","1988","Platform","Nintendo",9.54,3.44,3.84,0.46,17.28,"Non-exclusive"
"24",24,"Grand Theft Auto V","X360","2013","Action","Take-Two Interactive",9.63,5.31,0.06,1.38,16.38,"Non-exclusive"
"25",25,"Grand Theft Auto: Vice City","PS2","2002","Action","Take-Two Interactive",8.41,5.49,0.47,1.78,16.15,"Non-exclusive"
"26",26,"Pokemon Ruby/Pokemon Sapphire","GBA","2002","Role-Playing","Nintendo",6.06,3.9,5.38,0.5,15.85,"Exclusive"
"27",27,"Pokemon Black/Pokemon White","DS","2010","Role-Playing","Nintendo",5.57,3.28,5.65,0.82,15.32,"Exclusive"
"28",28,"Brain Age 2: More Training in Minutes a Day","DS","2005","Puzzle","Nintendo",3.44,5.36,5.32,1.18,15.3,"Exclusive"
"29",29,"Gran Turismo 3: A-Spec","PS2","2001","Racing","Sony Computer Entertainment",6.85,5.09,1.87,1.16,14.98,"Exclusive"
"30",30,"Call of Duty: Modern Warfare 3","X360","2011","Shooter","Activision",9.03,4.28,0.13,1.32,14.76,"Non-exclusive"
"31",31,"PokÌ©mon Yellow: Special Pikachu Edition","GB","1998","Role-Playing","Nintendo",5.89,5.04,3.12,0.59,14.64,"Exclusive"
"32",32,"Call of Duty: Black Ops","X360","2010","Shooter","Activision",9.67,3.73,0.11,1.13,14.64,"Non-exclusive"
"33",33,"Pokemon X/Pokemon Y","3DS","2013","Role-Playing","Nintendo",5.17,4.05,4.34,0.79,14.35,"Exclusive"
"34",34,"Call of Duty: Black Ops 3","PS4","2015","Shooter","Activision",5.77,5.81,0.35,2.31,14.24,"Non-exclusive"
"35",35,"Call of Duty: Black Ops II","PS3","2012","Shooter","Activision",4.99,5.88,0.65,2.52,14.03,"Non-exclusive"
"36",36,"Call of Duty: Black Ops II","X360","2012","Shooter","Activision",8.25,4.3,0.07,1.12,13.73,"Non-exclusive"
"37",37,"Call of Duty: Modern Warfare 2","X360","2009","Shooter","Activision",8.52,3.63,0.08,1.29,13.51,"Non-exclusive"
"38",38,"Call of Duty: Modern Warfare 3","PS3","2011","Shooter","Activision",5.54,5.82,0.49,1.62,13.46,"Non-exclusive"
"39",39,"Grand Theft Auto III","PS2","2001","Action","Take-Two Interactive",6.99,4.51,0.3,1.3,13.1,"Non-exclusive"
"40",40,"Super Smash Bros. Brawl","Wii","2008","Fighting","Nintendo",6.75,2.61,2.66,1.02,13.04,"Exclusive"
